
Epoch 0, 25%	 Loss : 9.0498e-04	 RES : 3.3792e-05	 MSE : 4.6059e-04	 REL : 1.0435e+00
Epoch 0, 50%	 Loss : 3.7626e-04	 RES : 6.2109e-06	 MSE : 2.9478e-04	 REL : 8.4233e-01
Epoch 0, 75%	 Loss : 3.5059e-04	 RES : 4.3669e-06	 MSE : 2.8225e-04	 REL : 7.7887e-01
Training Epoch 0 :	 Loss : 6.9754e-03 	 RES : 2.9145e-04	 MSE : 2.6012e-03	 REL : 1.4437e+00
Validation Epoch 0 :	 Loss : 2.8380e-04	 RES : 3.7427e-06	 MSE : 3.0391e-04	 REL : 8.3203e-01
Training Epoch 0 finished,took current epoch 189.57s,cumulative time 189.34s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 2.6153e-04	 RES : 2.1243e-06	 MSE : 2.0700e-04	 REL : 6.9956e-01
Epoch 1, 50%	 Loss : 2.4880e-04	 RES : 1.8265e-06	 MSE : 1.9802e-04	 REL : 6.9037e-01
Epoch 1, 75%	 Loss : 1.2611e-04	 RES : 2.3334e-06	 MSE : 2.4370e-04	 REL : 7.2373e-01
Training Epoch 1 :	 Loss : 2.0298e-04 	 RES : 2.1780e-06	 MSE : 2.2814e-04	 REL : 7.1798e-01
Validation Epoch 1 :	 Loss : 9.1801e-05	 RES : 1.7279e-06	 MSE : 2.1445e-04	 REL : 6.9909e-01
Training Epoch 1 finished,took current epoch 186.89s,cumulative time 376.01s
MODEL SAVED
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 7.9618e-05	 RES : 1.3798e-06	 MSE : 1.7685e-04	 REL : 6.4660e-01
Epoch 2, 50%	 Loss : 7.4337e-05	 RES : 1.2704e-06	 MSE : 1.7542e-04	 REL : 6.4979e-01
Epoch 2, 75%	 Loss : 8.3360e-05	 RES : 1.3193e-06	 MSE : 1.8311e-04	 REL : 6.2734e-01
Training Epoch 2 :	 Loss : 8.0870e-05 	 RES : 1.4546e-06	 MSE : 1.9643e-04	 REL : 6.6709e-01
Validation Epoch 2 :	 Loss : 8.3248e-05	 RES : 1.8075e-06	 MSE : 2.4548e-04	 REL : 7.4765e-01
Training Epoch 2 finished,took current epoch 186.45s,cumulative time 562.34s
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 6.9377e-05	 RES : 1.0892e-06	 MSE : 1.6224e-04	 REL : 6.1932e-01
Epoch 3, 50%	 Loss : 7.1176e-05	 RES : 1.2781e-06	 MSE : 1.7846e-04	 REL : 6.5539e-01
Epoch 3, 75%	 Loss : 8.0090e-05	 RES : 1.3593e-06	 MSE : 1.9254e-04	 REL : 6.4330e-01
Training Epoch 3 :	 Loss : 7.1807e-05 	 RES : 1.1310e-06	 MSE : 1.7730e-04	 REL : 6.3337e-01
Validation Epoch 3 :	 Loss : 6.9089e-05	 RES : 9.9086e-07	 MSE : 1.6779e-04	 REL : 6.1782e-01
Training Epoch 3 finished,took current epoch 188.37s,cumulative time 750.44s
MODEL SAVED
Learning Rate : 0.01
Epoch 4, 25%	 Loss : 6.6431e-05	 RES : 9.8917e-07	 MSE : 1.5806e-04	 REL : 6.1128e-01
Epoch 4, 50%	 Loss : 6.3333e-05	 RES : 7.8096e-07	 MSE : 1.4515e-04	 REL : 5.9106e-01
Epoch 4, 75%	 Loss : 7.3599e-05	 RES : 9.6452e-07	 MSE : 1.6271e-04	 REL : 5.9137e-01
Training Epoch 4 :	 Loss : 6.8681e-05 	 RES : 9.7319e-07	 MSE : 1.6747e-04	 REL : 6.1565e-01
Validation Epoch 4 :	 Loss : 6.5211e-05	 RES : 8.2650e-07	 MSE : 1.5309e-04	 REL : 5.9035e-01
Training Epoch 4 finished,took current epoch 188.55s,cumulative time 938.74s
MODEL SAVED
Learning Rate : 0.01
Epoch 5, 25%	 Loss : 7.4490e-05	 RES : 1.7354e-06	 MSE : 2.4363e-04	 REL : 7.5893e-01
Epoch 5, 50%	 Loss : 6.2129e-05	 RES : 7.1574e-07	 MSE : 1.3961e-04	 REL : 5.7969e-01
