
Epoch 0, 25%	 Loss : 1.6296e-04	 RES : 2.6754e-05	 MSE : 3.9593e-04	 REL : 9.7323e-01
Epoch 0, 50%	 Loss : 9.9425e-05	 RES : 1.4532e-05	 MSE : 3.4007e-04	 REL : 9.6260e-01
Epoch 0, 75%	 Loss : 8.0825e-05	 RES : 8.3546e-06	 MSE : 3.5182e-04	 REL : 8.7315e-01
Training Epoch 0 :	 Loss : 2.1843e-03 	 RES : 6.2886e-04	 MSE : 5.4338e-03	 REL : 1.6670e+00
Validation Epoch 0 :	 Loss : 5.8974e-05	 RES : 5.1814e-06	 MSE : 3.0184e-04	 REL : 8.2885e-01
Training Epoch 0 finished,took current epoch 51.63s,cumulative time 51.27s
MODEL SAVED
Learning Rate : 0.01
Epoch 1, 25%	 Loss : 5.5212e-05	 RES : 4.9170e-06	 MSE : 2.8280e-04	 REL : 8.2251e-01
Epoch 1, 50%	 Loss : 4.8213e-05	 RES : 3.7595e-06	 MSE : 2.3465e-04	 REL : 7.9958e-01
Epoch 1, 75%	 Loss : 5.2839e-05	 RES : 3.9659e-06	 MSE : 2.9934e-04	 REL : 8.0539e-01
Training Epoch 1 :	 Loss : 5.3430e-05 	 RES : 4.1368e-06	 MSE : 2.8178e-04	 REL : 8.0154e-01
Validation Epoch 1 :	 Loss : 5.0918e-05	 RES : 3.4786e-06	 MSE : 2.6476e-04	 REL : 7.7611e-01
Training Epoch 1 finished,took current epoch 44.83s,cumulative time 95.91s
MODEL SAVED
Learning Rate : 0.01
Epoch 2, 25%	 Loss : 4.9549e-05	 RES : 3.3248e-06	 MSE : 2.4821e-04	 REL : 7.7057e-01
Epoch 2, 50%	 Loss : 4.5856e-05	 RES : 2.9552e-06	 MSE : 2.1550e-04	 REL : 7.6627e-01
Epoch 2, 75%	 Loss : 5.0787e-05	 RES : 3.2861e-06	 MSE : 2.7951e-04	 REL : 7.7826e-01
Training Epoch 2 :	 Loss : 5.0855e-05 	 RES : 3.4634e-06	 MSE : 2.6921e-04	 REL : 7.8328e-01
Validation Epoch 2 :	 Loss : 5.0209e-05	 RES : 3.2131e-06	 MSE : 2.6277e-04	 REL : 7.7313e-01
Training Epoch 2 finished,took current epoch 44.48s,cumulative time 140.34s
MODEL SAVED
Learning Rate : 0.01
Epoch 3, 25%	 Loss : 4.8482e-05	 RES : 2.9117e-06	 MSE : 2.4163e-04	 REL : 7.6028e-01
Epoch 3, 50%	 Loss : 4.5319e-05	 RES : 2.6886e-06	 MSE : 2.0817e-04	 REL : 7.5313e-01
Epoch 3, 75%	 Loss : 5.0267e-05	 RES : 3.0721e-06	 MSE : 2.7120e-04	 REL : 7.6661e-01
Training Epoch 3 :	 Loss : 5.0153e-05 	 RES : 3.1628e-06	 MSE : 2.6292e-04	 REL : 7.7399e-01
Validation Epoch 3 :	 Loss : 4.9434e-05	 RES : 2.8925e-06	 MSE : 2.5417e-04	 REL : 7.6036e-01
Training Epoch 3 finished,took current epoch 44.66s,cumulative time 184.74s
MODEL SAVED
Learning Rate : 0.01
Epoch 4, 25%	 Loss : 4.8095e-05	 RES : 2.7025e-06	 MSE : 2.3772e-04	 REL : 7.5411e-01
Epoch 4, 50%	 Loss : 4.4826e-05	 RES : 2.4409e-06	 MSE : 2.0259e-04	 REL : 7.4296e-01
Epoch 4, 75%	 Loss : 5.0601e-05	 RES : 3.0745e-06	 MSE : 2.7700e-04	 REL : 7.7477e-01
Training Epoch 4 :	 Loss : 4.9746e-05 	 RES : 2.9602e-06	 MSE : 2.5846e-04	 REL : 7.6731e-01
Validation Epoch 4 :	 Loss : 4.9056e-05	 RES : 2.7019e-06	 MSE : 2.4841e-04	 REL : 7.5171e-01
Training Epoch 4 finished,took current epoch 44.80s,cumulative time 229.37s
MODEL SAVED
Learning Rate : 0.01
Epoch 5, 25%	 Loss : 5.0597e-05	 RES : 3.5543e-06	 MSE : 2.7007e-04	 REL : 8.0378e-01
Epoch 5, 50%	 Loss : 4.5714e-05	 RES : 2.6873e-06	 MSE : 2.1608e-04	 REL : 7.6730e-01
Epoch 5, 75%	 Loss : 4.9668e-05	 RES : 2.7289e-06	 MSE : 2.6337e-04	 REL : 7.5547e-01
Training Epoch 5 :	 Loss : 4.9456e-05 	 RES : 2.8003e-06	 MSE : 2.5544e-04	 REL : 7.6305e-01
Validation Epoch 5 :	 Loss : 4.8829e-05	 RES : 2.5324e-06	 MSE : 2.4422e-04	 REL : 7.4530e-01
Training Epoch 5 finished,took current epoch 46.03s,cumulative time 275.09s
MODEL SAVED
Learning Rate : 0.01
Epoch 6, 25%	 Loss : 4.7569e-05	 RES : 2.3334e-06	 MSE : 2.3048e-04	 REL : 7.4254e-01
Epoch 6, 50%	 Loss : 4.5152e-05	 RES : 2.3733e-06	 MSE : 2.0571e-04	 REL : 7.4866e-01
Epoch 6, 75%	 Loss : 4.9472e-05	 RES : 2.5569e-06	 MSE : 2.5823e-04	 REL : 7.4806e-01
Training Epoch 6 :	 Loss : 4.9065e-05 	 RES : 2.5541e-06	 MSE : 2.4807e-04	 REL : 7.5191e-01
Validation Epoch 6 :	 Loss : 4.8603e-05	 RES : 2.3115e-06	 MSE : 2.3992e-04	 REL : 7.3865e-01
Training Epoch 6 finished,took current epoch 45.30s,cumulative time 320.29s
MODEL SAVED
Learning Rate : 0.01
Epoch 7, 25%	 Loss : 4.7590e-05	 RES : 2.1833e-06	 MSE : 2.2261e-04	 REL : 7.2976e-01
Epoch 7, 50%	 Loss : 4.4132e-05	 RES : 1.8874e-06	 MSE : 1.8882e-04	 REL : 7.1726e-01
Epoch 7, 75%	 Loss : 4.8995e-05	 RES : 2.1899e-06	 MSE : 2.4797e-04	 REL : 7.3303e-01
Training Epoch 7 :	 Loss : 4.8811e-05 	 RES : 2.3486e-06	 MSE : 2.4292e-04	 REL : 7.4383e-01
Validation Epoch 7 :	 Loss : 4.8411e-05	 RES : 2.1582e-06	 MSE : 2.3682e-04	 REL : 7.3385e-01
Training Epoch 7 finished,took current epoch 44.95s,cumulative time 365.16s
MODEL SAVED
Learning Rate : 0.01
Epoch 8, 25%	 Loss : 4.7394e-05	 RES : 1.9746e-06	 MSE : 2.1775e-04	 REL : 7.2174e-01
Epoch 8, 50%	 Loss : 4.4680e-05	 RES : 2.0735e-06	 MSE : 1.9806e-04	 REL : 7.3461e-01
Epoch 8, 75%	 Loss : 4.8859e-05	 RES : 2.0918e-06	 MSE : 2.4665e-04	 REL : 7.3109e-01
Training Epoch 8 :	 Loss : 4.8586e-05 	 RES : 2.2047e-06	 MSE : 2.3913e-04	 REL : 7.3820e-01
Validation Epoch 8 :	 Loss : 4.8266e-05	 RES : 2.0954e-06	 MSE : 2.3506e-04	 REL : 7.3110e-01
Training Epoch 8 finished,took current epoch 44.73s,cumulative time 409.76s
MODEL SAVED
Learning Rate : 0.01
Epoch 9, 25%	 Loss : 4.7564e-05	 RES : 2.1436e-06	 MSE : 2.1937e-04	 REL : 7.2442e-01
